model,family,split_id,target_threshold_train,average_precision,roc_auc,f1_at_0_5,precision_at_0_5,recall_at_0_5
cat_depth1_lr0.04_n220_reg,catboost,4,0.08965532467628037,0.7380579699830955,0.8649065623641895,0.625,0.5263157894736842,0.7692307692307693
cat_depth1_lr0.04_n220_reg,catboost,5,0.083669936526255,0.7716634117364589,0.8993948255554202,0.711340206185567,0.6448598130841121,0.7931034482758621
cat_depth1_lr0.07_n150_reg,catboost,1,0.081999739786625,0.7829094334520896,0.8928184281842819,0.7,0.6363636363636364,0.7777777777777778
cat_depth1_lr0.07_n150_reg,catboost,2,0.0816462571597866,0.804025714746353,0.8772904836696065,0.6956521739130435,0.6101694915254238,0.8089887640449438
cat_depth1_lr0.07_n150_reg,catboost,3,0.08086093914398546,0.8003875977879342,0.9110217276896474,0.730593607305936,0.64,0.851063829787234
cat_depth1_lr0.07_n150_reg,catboost,4,0.08965532467628037,0.7416314995878046,0.8634289439374185,0.631578947368421,0.5357142857142857,0.7692307692307693
cat_depth1_lr0.07_n150_reg,catboost,5,0.083669936526255,0.7834937353759254,0.9030908573981561,0.71875,0.6571428571428571,0.7931034482758621
cat_depth2_lr0.02_n350_reg,catboost,1,0.081999739786625,0.7839259595665766,0.8938637243515293,0.6965174129353234,0.6306306306306306,0.7777777777777778
cat_depth2_lr0.02_n350_reg,catboost,2,0.0816462571597866,0.8079383497615017,0.880190084974427,0.6829268292682927,0.603448275862069,0.7865168539325843
cat_depth2_lr0.02_n350_reg,catboost,3,0.08086093914398546,0.808608075952622,0.9144613186978423,0.7314814814814815,0.6475409836065574,0.8404255319148937
cat_depth2_lr0.02_n350_reg,catboost,4,0.08965532467628037,0.7487467617323802,0.8664276401564539,0.631578947368421,0.5357142857142857,0.7692307692307693
cat_depth2_lr0.02_n350_reg,catboost,5,0.083669936526255,0.7813000880633864,0.9004305267860769,0.7150259067357513,0.6509433962264151,0.7931034482758621
cat_depth2_lr0.04_n220_reg,catboost,1,0.081999739786625,0.7831125002683232,0.8949283778552071,0.6896551724137931,0.6194690265486725,0.7777777777777778
cat_depth2_lr0.04_n220_reg,catboost,2,0.0816462571597866,0.8045268561715098,0.8793443679271877,0.6764705882352942,0.6,0.7752808988764045
cat_depth2_lr0.04_n220_reg,catboost,3,0.08086093914398546,0.8071974263619335,0.9139162468987294,0.7314814814814815,0.6475409836065574,0.8404255319148937
cat_depth2_lr0.04_n220_reg,catboost,4,0.08965532467628037,0.7561831377689757,0.8712081703607127,0.6282722513089005,0.5309734513274337,0.7692307692307693
cat_depth2_lr0.04_n220_reg,catboost,5,0.083669936526255,0.787100359696315,0.903923479956135,0.7263157894736842,0.6699029126213593,0.7931034482758621
cat_depth2_lr0.07_n150_reg,catboost,1,0.081999739786625,0.7834428033842628,0.8950251645373597,0.6934673366834171,0.6330275229357798,0.7666666666666667
cat_depth2_lr0.07_n150_reg,catboost,2,0.0816462571597866,0.8052921486081861,0.8755587773347829,0.6731707317073171,0.5948275862068966,0.7752808988764045
cat_depth2_lr0.07_n150_reg,catboost,3,0.08086093914398546,0.799134271439597,0.9098564017743027,0.719626168224299,0.6416666666666667,0.8191489361702128
cat_depth2_lr0.07_n150_reg,catboost,4,0.08965532467628037,0.7599912741214185,0.87083876575402,0.6282722513089005,0.5309734513274337,0.7692307692307693
cat_depth2_lr0.07_n150_reg,catboost,5,0.083669936526255,0.7766292666047754,0.8969781893505544,0.7216494845360825,0.6542056074766355,0.8045977011494253
cat_depth3_lr0.02_n350_reg,catboost,1,0.081999739786625,0.7842900414186256,0.8945993031358884,0.700507614213198,0.6448598130841121,0.7666666666666667
cat_depth3_lr0.02_n350_reg,catboost,2,0.0816462571597866,0.8056876537443111,0.8788208288027062,0.6831683168316832,0.6106194690265486,0.7752808988764045
cat_depth3_lr0.02_n350_reg,catboost,3,0.08086093914398546,0.8094221126037031,0.9146304789113601,0.7358490566037735,0.6610169491525424,0.8297872340425532
cat_depth3_lr0.02_n350_reg,catboost,4,0.08965532467628037,0.7628080842184792,0.8740330291177748,0.6276595744680851,0.5363636363636364,0.7564102564102564
cat_depth3_lr0.02_n350_reg,catboost,5,0.083669936526255,0.7844317137676098,0.8996182120953657,0.7291666666666666,0.6666666666666666,0.8045977011494253
cat_depth3_lr0.04_n220_reg,catboost,1,0.081999739786625,0.7797563302516812,0.894618660472319,0.6974358974358974,0.6476190476190476,0.7555555555555555
cat_depth3_lr0.04_n220_reg,catboost,2,0.0816462571597866,0.7997700657605246,0.8771293947082276,0.69,0.6216216216216216,0.7752808988764045
cat_depth3_lr0.04_n220_reg,catboost,3,0.08086093914398546,0.8032010228181471,0.9132020148860986,0.7428571428571429,0.6724137931034483,0.8297872340425532
cat_depth3_lr0.04_n220_reg,catboost,4,0.08965532467628037,0.764888827344617,0.8751195132551065,0.6276595744680851,0.5363636363636364,0.7564102564102564
cat_depth3_lr0.04_n220_reg,catboost,5,0.083669936526255,0.7861372509418345,0.9004914503878801,0.7319587628865979,0.6635514018691588,0.8160919540229885
cat_depth3_lr0.07_n150_reg,catboost,1,0.081999739786625,0.7911372927433393,0.8971351142082851,0.7010309278350515,0.6538461538461539,0.7555555555555555
cat_depth3_lr0.07_n150_reg,catboost,2,0.0816462571597866,0.8020609047850222,0.878478514759776,0.7,0.6306306306306306,0.7865168539325843
cat_depth3_lr0.07_n150_reg,catboost,3,0.08086093914398546,0.7985400955295556,0.9143673408014434,0.7414634146341463,0.6846846846846847,0.8085106382978723
cat_depth3_lr0.07_n150_reg,catboost,4,0.08965532467628037,0.7722360059815376,0.8774011299435028,0.6276595744680851,0.5363636363636364,0.7564102564102564
cat_depth3_lr0.07_n150_reg,catboost,5,0.083669936526255,0.78660386509092,0.901060070671378,0.7195767195767195,0.6666666666666666,0.7816091954022989
